eps:         8.5
min_samples: 15
Silhouette score including outliers: 0.12166634233465409
Silhouette score excluding outliers: 0.4347824095356483

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            4052                16                21         1       246             0         29378                 0               372              0            408
           0           12206                16                21         1        31            22           801                 0                18              1             38
           1             188                16                21         2        16           795           855                 0                11              3             37
           2              15                20                20        44        44          4944          4950                71                71             28             28
           3              64                20                20        20        20          3197          3218                51                51             16             18
           4             131                17                17        19        19          2385          2417                30                30             27             30
           5              36                20                20        61        61          5401          5411                92                92             20             21
           6              51                16                20        28        31          1649          1662                 0                 2              9             14
           7              29                17                19       123       123          1487          1500                 1                 1              8              9
           8              87                16                20         4        18          1103          1127                 0                 9             11             31
           9              56                16                21         2        22           871           892                 0                 6              9             37
          10              22                20                20        19        19          8219          8222               105               105             20             20
          11              54                20                20        29        29          4414          4438                55                55             13             15
          12              15                20                20        59        59         17658         17664               236               236             29             29
          13              76                18                18        17        17          4561          4583                 8                 8             84             84
          14              15                20                20        19        19          2488          2493                11                11             49             49
          15              46                16                21         3        23          1128          1152                 0                 5             11             24
          16              36                16                21         8        24          1154          1176                 0                10             13             30
          17              36                19                20        60        60          5138          5149                11                11             32             32
          18             103                16                17       121       121           761           779                 3                 4              6              8
          19              40                16                20         4        19          1312          1331                 0                 4             25             36
          20              18                16                20         4        15          1031          1041                 0                 4             14             19
          21              11                17                21        24        28           681           688                 1                 6              7             11
          22              16                20                20        26        26          4942          4958               100               102             15             16
          23              55                16                20         5        19          1423          1443                 0                 2             24             35
          24              40                20                20        59        59         17724         17735               238               238             29             30
          25              31                20                20         5         5          2003          2018                 5                 5             45             46
          26              39                17                17        16        16          5285          5301                 0                 0            108            108
          27              89                18                20        13        21          1918          1934                 0                 2             33             34
          28              24                16                19         2        11           839           857                 0                 4             30             45
          29              29                19                19        14        14          3190          3202                 0                 0             47             49
          30              19                17                17        22        23          2638          2649                26                29              2              5
          31              21                20                20        14        14          1787          1795                20                20             25             25
          32              25                20                20        11        11          3529          3547                54                54             12             15
          33              36                20                20         6         6          1300          1309                 0                 0             17             18
          34              25                16                19         3        10           908           925                 0                 7             24             41
          35              15                16                20         2        12           997          1009                 0                 4             19             30
          36              17                16                20         4        16           932           945                 0                 7             16             24
