eps:         10.0
min_samples: 10
Silhouette score including outliers: 0.197108112738874
Silhouette score excluding outliers: 0.41618190059967564

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            2869                16                21         1       246             0         29378                 0               372              0            408
           0           13213                16                21         1        35            16          1078                 0                20              1             50
           1              12                18                20        11        18          1053          1069                12                20              4             13
           2              11                16                20         3        13          1190          1204                 0                 2             25             41
           3              15                20                20        44        44          4944          4950                71                71             28             28
           4              65                20                20        20        27          3197          3218                51                53             10             18
           5              16                20                20        26        26          4942          4958               100               102             15             16
           6              50                16                20         3        23          1311          1335                 0                 4             17             37
           7             132                17                17        19        19          2385          2423                30                30             27             30
           8             256                16                21         2        32          1076          1178                 0                13             11             47
           9              36                20                20        61        61          5401          5411                92                92             20             21
          10              66                16                20         3        17          1269          1316                 0                13             11             38
          11              13                20                20        19        19          2305          2328                 2                 2             15             15
          12              31                16                21         3        21          1205          1236                 0                 5             20             43
          13              53                16                20        27        31          1649          1670                 0                 2              9             19
          14              29                17                19       123       123          1487          1500                 1                 1              8              9
          15              75                16                20         5        19          1405          1453                 0                 7             19             44
          16              15                20                20        22        22          3093          3126                54                54              4              6
          17              22                20                20        19        19          8219          8222               105               105             20             20
          18              10                18                20        37        45           926           942                 0                 3              8             14
          19              56                20                20        29        29          4414          4444                55                55             13             15
          20              15                20                20        59        59         17658         17664               236               236             29             29
          21              12                17                18         3         5          1111          1123                 0                 0             73             78
          22              14                19                19        64        64          7405          7416                 1                 1             99             99
          23              76                18                18        17        17          4561          4583                 8                 8             84             84
          24              10                16                21         2        13           954           968                 0                 1             36             47
          25              15                20                20        19        19          2488          2493                11                11             49             49
          26              37                19                20        60        60          5138          5157                10                11             32             32
          27              10                17                20         3        17          1462          1472                 0                 7             19             29
          28              10                17                17        19        19          1946          1953                26                26             27             27
          29             103                16                17       121       121           761           779                 3                 4              6              8
          30              13                20                20        27        27          1895          1910                18                19             27             27
          31              12                20                20        33        33          3255          3264                48                48             19             19
          32             104                17                20         5        22          1918          1941                 0                 6             30             45
          33              12                16                17         2         6          1921          1930                 0                 0             52             61
          34              12                20                20        29        29          3413          3413                14                14             12             12
          35              11                21                21        18        18          4361          4364                55                55             22             22
          36              10                20                20        31        31          2591          2596                 5                 6             15             15
          37              10                19                19        55        55          7846          7846                88                88             10             10
          38              13                17                20         8        21          1197          1218                 0                 5             12             23
          39              41                20                20        59        59         17724         17739               238               238             29             30
          40              33                17                20         3        10          2001          2018                 0                 5             40             46
          41              40                17                17        16        16          5276          5301                 0                 0            107            108
          42              13                16                20         9        15          1544          1561                 0                12             22             33
          43              10                19                19        70        70          5201          5212               158               158             22             23
          44              29                19                19        14        14          3190          3202                 0                 0             47             49
          45              11                19                20        14        18          1258          1263                14                24              8             18
          46              19                17                17        22        23          2638          2649                26                29              2              5
          47              21                20                20        14        14          1787          1795                20                20             25             25
          48              17                16                21        16        29          1692          1719                 0                 5             33             42
          49              16                16                20         2        18          1343          1363                 0                 2             21             35
          50              13                20                20        11        11          3491          3507                54                54             11             14
          51              26                20                20        11        11          3520          3547                54                54             12             15
          52               6                17                20        12        16          1462          1475                 0                 3             34             43
          53              11                16                21         6        16          1241          1249                 0                 7             19             35
          54               8                17                20         5        19          1186          1198                 0                11             22             27
          55              10                20                20        20        21          2659          2667                26                26             19             20
