eps:         8.0
min_samples: 20
Silhouette score including outliers: 0.19018181069970286
Silhouette score excluding outliers: 0.565308535315433

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            4463                16                21         1       246             0         29378                 0               372              0            408
           0           11733                16                21         1        31            22           715                 0                16              1             35
           1             171                16                21         2        15           795           846                 0                 8              3             32
           2              64                20                20        20        20          3197          3218                51                51             16             18
           3             315                16                21         1        22           718           792                 0                10              3             35
           4             130                17                17        19        19          2385          2413                30                30             27             30
           5              36                20                20        61        61          5401          5411                92                92             20             21
           6              51                16                20        28        31          1649          1662                 0                 2              9             14
           7              29                17                19       123       123          1487          1500                 1                 1              8              9
           8              22                20                20        19        19          8219          8222               105               105             20             20
           9              53                20                20        29        29          4414          4433                55                55             13             15
          10              76                18                18        17        17          4561          4583                 8                 8             84             84
          11              42                16                21         5        23          1131          1152                 0                 5             17             22
          12              33                16                21         8        19          1154          1176                 0                10             13             29
          13              36                19                20        60        60          5138          5149                11                11             32             32
          14             101                16                17       121       121           761           771                 3                 4              6              8
          15              39                16                20         4        19          1312          1331                 0                 4             25             36
          16              82                16                20         3        18          1104          1126                 0                 4             11             31
          17              55                16                20         5        19          1423          1443                 0                 2             24             35
          18              40                20                20        59        59         17724         17735               238               238             29             30
          19              31                20                20         5         5          2003          2018                 5                 5             45             46
          20              39                17                17        16        16          5285          5301                 0                 0            108            108
          21              88                20                20        21        21          1918          1934                 2                 2             33             34
          22              29                19                19        14        14          3190          3202                 0                 0             47             49
          23              21                20                20        14        14          1787          1795                20                20             25             25
          24              25                20                20        11        11          3529          3547                54                54             12             15
          25              36                20                20         6         6          1300          1309                 0                 0             17             18
          26              28                16                20         2        16           878           891                 0                 5             15             25
