eps:         7.5
min_samples: 50
Silhouette score including outliers: -0.021832287435913453
Silhouette score excluding outliers: 0.5152550424903622

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            6802                16                21         1       246             0         29378                 0               372              0            408
           0            9982                16                21         1        23            28           489                 0                13              1             28
           1              64                20                20        20        20          3197          3218                51                51             16             18
           2             130                17                17        19        19          2385          2413                30                30             27             30
           3              50                16                20        28        30          1654          1662                 0                 0              9             11
           4              96                16                20         2        16           692           712                 0                 3              9             28
           5             407                16                21         2        21           500           540                 0                11              2             28
           6              76                18                18        17        17          4561          4583                 8                 8             84             84
           7             101                16                17       121       121           761           771                 3                 4              6              8
           8              73                16                20         5        17          1105          1126                 0                 4             11             24
           9              87                20                20        21        21          1918          1933                 2                 2             33             34
