eps:         4.5
min_samples: 15
Silhouette score including outliers: -0.11559963305990739
Silhouette score excluding outliers: 0.41891818613481946

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            6956                16                21         1       246             0         29378                 0               372              0            408
           0            9149                16                21         1        21            28           484                 0                 9              1             26
           1              15                20                20        44        44          4944          4950                71                71             28             28
           2              61                20                20        20        20          3203          3212                51                51             16             18
           3              31                16                18        23        25           435           440                 0                 4              9             10
           4             128                17                17        19        19          2391          2412                30                30             27             30
           5              35                20                20        61        61          5401          5409                92                92             20             21
           6              27                16                20         2         7           724           735                 0                 4             15             26
           7              50                16                20        28        30          1654          1662                 0                 0              9             11
           8              28                17                17       123       123          1487          1493                 1                 1              8              9
           9              30                16                19         3         8           525           529                 0                 0             20             26
          10              16                20                20        17        17          1103          1111                 4                 4             12             12
          11              43                16                19         2        10           698           706                 0                 3             11             16
          12              22                20                20        19        19          8219          8222               105               105             20             20
          13              41                20                20        29        29          4414          4426                55                55             13             15
          14              15                16                19        12        17           619           623                 0                 2             13             18
          15              19                17                19        15        17           656           666                 0                 1             12             15
          16             189                16                21         2        14           502           540                 0                 6              6             25
          17              73                18                18        17        17          4564          4576                 8                 8             84             84
          18              24                17                20        14        17          1137          1146                 0                 0             17             18
          19              17                20                20        14        14          1164          1165                 0                 0             18             22
          20              35                19                20        60        60          5138          5144                11                11             32             32
          21             100                16                16       121       121           761           770                 3                 4              6              8
          22              28                17                19        12        13          1317          1325                 0                 4             25             27
          23              51                17                19        14        16           518           529                 4                 7              2              7
          24              46                17                20        11        11          1113          1120                 0                 1             18             18
          25              33                16                18         4         7           808           810                 0                 4              5              7
          26              35                20                20         9         9          1427          1438                 0                 0             27             28
          27              20                16                20         5        13           732           742                 0                 3             15             22
          28              39                20                20        59        59         17724         17730               238               238             29             30
          29              52                18                18        19        19           518           528                 0                 1              5              5
          30              29                20                20         5         5          2010          2017                 5                 5             45             45
          31              21                16                19         8        12           676           682                 0                 0             19             25
          32              36                17                17        16        16          5285          5290                 0                 0            108            108
          33              86                20                20        21        21          1918          1929                 2                 2             33             34
          34              24                19                19        14        14          3196          3197                 0                 0             47             47
          35              18                17                17        22        23          2638          2643                26                29              2              5
          36              33                16                19        13        18           420           429                 0                 2              9             16
          37              24                16                20         3        11           629           637                 0                 4             17             23
          38              36                16                19         2         9           692           703                 0                 1             19             24
          39              20                20                20        14        14          1787          1789                20                20             25             25
          40              15                16                19         5        10           585           591                 0                 2              9             14
          41              35                20                20         6         6          1300          1305                 0                 0             17             18
          42              21                20                20        11        11          3535          3543                54                54             13             14
          43              31                16                20         3        11           568           581                 0                 4             10             19
          44              16                16                19         2         9           512           519                 0                 1             19             25
          45              15                20                20        19        19          2488          2493                11                11             49             49
