eps:         3.0
min_samples: 35
Silhouette score including outliers: -0.4526836886773726
Silhouette score excluding outliers: 0.47233073583812246

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1           11791                16                21         1       246             0         29378                 0               372              0            408
           0              99                16                21         1         7           225           233                 0                 3              4             12
           1            5079                16                21         1        10            35           222                 0                 5              1             13
           2              60                20                20        20        20          3203          3211                51                51             16             17
           3             113                17                17        19        19          2395          2405                30                30             28             29
           4              47                16                16        30        30          1658          1659                 0                 0              9             10
           5              39                16                19         4         7           699           706                 0                 0             13             16
           6              73                18                18        17        17          4564          4576                 8                 8             84             84
           7              97                16                16       121       121           761           766                 3                 3              6              6
           8              40                19                19        16        16           521           521                 4                 4              6              6
           9              45                17                20        11        11          1113          1119                 0                 1             18             18
          10              37                20                20        59        59         17724         17728               238               238             29             30
          11              52                18                18        19        19           518           528                 0                 1              5              5
          12              36                17                17        16        16          5285          5290                 0                 0            108            108
          13              85                20                20        21        21          1918          1926                 2                 2             33             34
          14              50                16                19         2         7           277           282                 0                 1              6             12
          15              46                16                20         2         6           233           238                 0                 2              6             11
          16              35                20                20         6         6          1300          1305                 0                 0             17             18
          17              44                16                19         2         5           270           275                 0                 2              9             15
