eps:         4.0
min_samples: 40
Silhouette score including outliers: -0.2894259796276955
Silhouette score excluding outliers: 0.6184602403922774

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1           10622                16                21         1       246             0         29378                 0               372              0            408
           0            6509                16                21         1        12            34           293                 0                 7              1             17
           1              61                20                20        20        20          3203          3212                51                51             16             18
           2             119                17                17        19        19          2392          2407                30                30             27             29
           3              50                16                20        28        30          1654          1662                 0                 0              9             11
           4              45                16                20         6        12           380           387                 0                 3              4              9
           5              73                18                18        17        17          4564          4576                 8                 8             84             84
           6              99                16                16       121       121           761           767                 3                 4              6              8
           7              50                17                19        14        16           518           529                 4                 7              2              7
           8              46                17                20        11        11          1113          1120                 0                 1             18             18
           9              57                16                20         2         7           347           355                 0                 4              8             15
          10              52                18                18        19        19           518           528                 0                 1              5              5
          11              85                20                20        21        21          1918          1926                 2                 2             33             34
