eps:         6.0
min_samples: 25
Silhouette score including outliers: -0.11818598346853171
Silhouette score excluding outliers: 0.32234292476675963

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            6239                16                21         1       246             0         29378                 0               372              0            408
           0            9836                16                21         1        22            28           495                 0                12              1             28
           1             279                16                21         2        18           495           545                 0                 9              4             26
           2              63                20                20        20        20          3197          3214                51                51             16             18
           3              37                16                18        19        25           430           445                 0                 5              8             15
           4             129                17                17        19        19          2391          2413                30                30             27             30
           5              35                20                20        61        61          5401          5409                92                92             20             21
           6              27                16                20         2        10           647           656                 0                 4             14             23
           7              50                16                20        28        30          1654          1662                 0                 0              9             11
           8              28                17                17       123       123          1487          1493                 1                 1              8              9
           9              96                16                20         2        14           687           711                 0                 3             11             27
          10              44                20                20        29        29          4414          4428                55                55             13             15
          11              31                16                19        14        24           408           417                 0                 7              6             17
          12              75                18                18        17        17          4561          4581                 8                 8             84             84
          13              36                19                20        60        60          5138          5149                11                11             32             32
          14             101                16                17       121       121           761           771                 3                 4              6              8
          15              33                16                20         9        17          1316          1327                 0                 4             25             34
          16             106                16                19        14        21           515           529                 0                 9              2              9
          17              50                16                20         3        12           564           582                 0                 5             10             21
          18              52                16                20         9        15          1105          1122                 0                 1             13             21
          19              42                16                20         4        10           808           813                 0                 8              3             11
          20              37                18                20         8        12          1427          1443                 0                 0             27             32
          21              40                20                20        59        59         17724         17735               238               238             29             30
          22              30                20                20         5         5          2010          2018                 5                 5             45             46
          23              30                16                19         6        16           733           742                 0                 1             16             24
          24              28                16                20         5        16           675           685                 0                 2             15             25
          25              37                17                17        16        16          5285          5295                 0                 0            108            108
          26              86                20                20        21        21          1918          1929                 2                 2             33             34
          27              26                17                20        10        17          1137          1148                 0                 4             17             21
          28              29                19                19        14        14          3190          3202                 0                 0             47             49
          29              20                16                19         2        10           511           519                 0                 2             21             28
          30              26                16                20         2         7           723           731                 0                 4             15             23
          31              36                20                20         6         6          1300          1309                 0                 0             17             18
          32              27                16                20         3        11           629           637                 0                 4             15             23
          33              27                16                21         5        14           586           596                 0                 3             11             20
