eps:         9.0
min_samples: 25
Silhouette score including outliers: 0.18236309340579626
Silhouette score excluding outliers: 0.5342944786500892

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            4326                16                21         1       246             0         29378                 0               372              0            408
           0           12194                16                21         1        31            22           789                 0                18              1             38
           1             170                16                21         2        15           795           844                 0                 9              1             32
           2              64                20                20        20        20          3197          3218                51                51             16             18
           3              47                16                20         3        20          1311          1332                 0                 4             19             37
           4             131                17                17        19        19          2385          2417                30                30             27             30
           5              36                20                20        61        61          5401          5411                92                92             20             21
           6              51                16                20        28        31          1649          1662                 0                 2              9             14
           7              29                17                19       123       123          1487          1500                 1                 1              8              9
           8              53                20                20        29        29          4414          4433                55                55             13             15
           9              76                18                18        17        17          4561          4583                 8                 8             84             84
          10              50                16                21         3        23          1125          1152                 0                 5             11             24
          11              36                19                20        60        60          5138          5149                11                11             32             32
          12             102                16                17       121       121           761           775                 3                 4              6              8
          13              85                16                20         3        18          1103          1122                 0                 9             11             32
          14              55                16                20         5        19          1423          1443                 0                 2             24             35
          15              20                16                20         4        16           844           855                 0                 5             16             26
          16              41                20                20        59        59         17724         17739               238               238             29             30
          17              33                17                20         3        10          2001          2018                 0                 5             40             46
          18              32                16                20         8        24          1154          1170                 0                 6             15             29
          19              39                17                17        16        16          5285          5301                 0                 0            108            108
          20              97                17                20         6        21          1918          1934                 0                 2             30             38
          21              29                19                19        14        14          3190          3202                 0                 0             47             49
          22              36                20                20         6         6          1300          1309                 0                 0             17             18
          23              36                16                20         2        16           877           894                 0                 5             15             28
