eps:         1.5
min_samples: 50
Silhouette score including outliers: -0.752243248414292
Silhouette score excluding outliers: 0.9603626018317758

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1           17210                16                21         1       246             0         29378                 0               372              0            408
           0              53                20                20        20        20          3203          3206                51                51             17             17
           1              97                17                17        19        19          2397          2401                30                30             28             29
           2              64                18                18        17        17          4568          4572                 8                 8             84             84
           3              93                16                16       121       121           761           763                 3                 3              6              6
           4              53                16                20         2         4            86            88                 0                 1              3              5
           5              78                20                20        21        21          1921          1923                 2                 2             33             33
           6             127                16                18         2         3            93            95                 0                 0              1              3
           7              93                16                19         2         4           111           115                 0                 1              3              5
