eps:         8.5
min_samples: 30
Silhouette score including outliers: 0.15625071165421464
Silhouette score excluding outliers: 0.5575150563492878

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            4852                16                21         1       246             0         29378                 0               372              0            408
           0           11701                16                21         1        31            22           715                 0                18              1             35
           1              64                20                20        20        20          3197          3218                51                51             16             18
           2             224                16                21         1        19           718           772                 0                 8              7             32
           3             130                17                17        19        19          2385          2413                30                30             27             30
           4              36                20                20        61        61          5401          5411                92                92             20             21
           5              51                16                20        28        31          1649          1662                 0                 2              9             14
           6              53                20                20        29        29          4414          4433                55                55             13             15
           7              76                18                18        17        17          4561          4583                 8                 8             84             84
           8              36                19                20        60        60          5138          5149                11                11             32             32
           9             102                16                17       121       121           761           775                 3                 4              6              8
          10              61                16                21         3        11           804           821                 0                 8              3             17
          11              42                16                20         3        19          1311          1331                 0                 4             25             37
          12              24                16                20         2        15           798           812                 0                 4             15             26
          13              88                16                20         3        18          1103          1126                 0                 9             11             32
          14              55                16                20         5        19          1423          1443                 0                 2             24             35
          15              40                20                20        59        59         17724         17735               238               238             29             30
          16              31                20                20         5         5          2003          2018                 5                 5             45             46
          17              39                17                17        16        16          5285          5301                 0                 0            108            108
          18              38                16                20         4        17          1139          1150                 0                 5             17             22
          19              89                18                20        13        21          1918          1934                 0                 2             33             34
          20              36                20                20         6         6          1300          1309                 0                 0             17             18
