eps:         7.5
min_samples: 25
Silhouette score including outliers: 0.1029469911497359
Silhouette score excluding outliers: 0.5116555401731332

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            5081                16                21         1       246             0         29378                 0               372              0            408
           0           11273                16                21         1        30            23           662                 0                15              1             35
           1              64                20                20        20        20          3197          3218                51                51             16             18
           2             130                17                17        19        19          2385          2413                30                30             27             30
           3              36                20                20        61        61          5401          5411                92                92             20             21
           4             145                16                21         2        19           718           755                 0                 8              9             31
           5              51                16                20        28        31          1649          1662                 0                 2              9             14
           6              29                17                19       123       123          1487          1500                 1                 1              8              9
           7             205                16                20         2        21           669           712                 0                 6              9             34
           8              48                20                20        29        29          4414          4429                55                55             13             15
           9              76                18                18        17        17          4561          4583                 8                 8             84             84
          10              36                19                20        60        60          5138          5149                11                11             32             32
          11             101                16                17       121       121           761           771                 3                 4              6              8
          12              54                16                21         4        11           804           817                 0                 8              3             16
          13              38                16                20         7        19          1312          1331                 0                 4             25             36
          14               8                16                20         8        16           662           666                 0                 1             13             21
          15              21                16                20         2        13           800           812                 0                 3             15             25
          16              78                16                20         4        18          1104          1126                 0                 4             11             27
          17              51                16                20         5        19          1424          1443                 0                 2             24             35
          18              40                20                20        59        59         17724         17735               238               238             29             30
          19              31                20                20         5         5          2003          2018                 5                 5             45             46
          20              34                16                20         2        14           755           770                 0                 6              9             24
          21              39                17                17        16        16          5285          5301                 0                 0            108            108
          22              38                16                20         5        17          1137          1152                 0                 5             17             22
          23              87                20                20        21        21          1918          1933                 2                 2             33             34
          24              29                19                19        14        14          3190          3202                 0                 0             47             49
          25              36                20                20         6         6          1300          1309                 0                 0             17             18
          26               9                20                20         8        17           654           662                 7                 9              8             13
