eps:         10.0
min_samples: 60
Silhouette score including outliers: 0.06454862958797283
Silhouette score excluding outliers: 0.4745648370912412

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            5425                16                21         1       246             0         29378                 0               372              0            408
           0           10950                16                21         1        27            23           563                 0                16              1             37
           1              65                20                20        20        27          3197          3218                51                53             10             18
           2             131                17                17        19        19          2385          2417                30                30             27             30
           3             214                16                21         2        19           561           606                 0                10              6             30
           4             213                16                21         2        21           676           719                 0                14              8             33
           5             110                16                20         2        17           644           669                 0                11              5             23
           6              76                18                18        17        17          4561          4583                 8                 8             84             84
           7             103                16                17       121       121           761           779                 3                 4              6              8
           8              77                16                21         2        11           797           818                 0                 9              3             21
           9             146                16                21         2        19           722           755                 0                10              7             30
          10              94                16                20         3        21          1097          1126                 0                 9             11             34
          11             166                16                20         1        19           607           644                 0                13              5             28
          12              98                17                20         6        22          1918          1934                 0                 6             30             41
