eps:         6.0
min_samples: 45
Silhouette score including outliers: -0.1450504020154903
Silhouette score excluding outliers: 0.46953815630513307

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            8022                16                21         1       246             0         29378                 0               372              0            408
           0            8707                16                21         1        19            30           402                 0                11              1             22
           1             280                16                20         1        14           427           467                 0                 7              6             24
           2              63                20                20        20        20          3197          3214                51                51             16             18
           3             127                17                17        19        19          2391          2411                30                30             27             30
           4              50                16                20        28        30          1654          1662                 0                 0              9             11
           5              75                18                18        17        17          4561          4581                 8                 8             84             84
           6             101                16                17       121       121           761           771                 3                 4              6              8
           7              85                16                20         1        11           407           424                 0                 5              7             21
           8              45                16                19         2        12           472           482                 0                 4             12             21
           9             108                16                20        10        21           515           529                 0                 9              2              9
          10              50                17                20         9        13          1108          1122                 0                 1             13             20
          11              86                20                20        21        21          1918          1929                 2                 2             33             34
          12              46                16                20         3        12           518           527                 0                 2              8             18
          13              23                16                20         1         9           423           429                 0                 4              9             18
