eps:         6.0
min_samples: 30
Silhouette score including outliers: -0.11671648775764956
Silhouette score excluding outliers: 0.38721800027033076

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            6810                16                21         1       246             0         29378                 0               372              0            408
           0            9674                16                21         1        22            28           485                 0                12              1             26
           1              63                20                20        20        20          3197          3214                51                51             16             18
           2              37                16                18        19        25           430           445                 0                 5              8             15
           3             128                17                17        19        19          2391          2412                30                30             27             30
           4              35                20                20        61        61          5401          5409                92                92             20             21
           5              50                16                20        28        30          1654          1662                 0                 0              9             11
           6             230                16                21         2        14           502           541                 0                 6              5             26
           7              91                16                19         2        14           692           711                 0                 3             11             26
           8              44                20                20        29        29          4414          4428                55                55             13             15
           9              75                18                18        17        17          4561          4581                 8                 8             84             84
          10              36                19                20        60        60          5138          5149                11                11             32             32
          11             101                16                17       121       121           761           771                 3                 4              6              8
          12             107                16                19        10        21           515           529                 0                 9              2              9
          13              52                16                20         9        15          1105          1122                 0                 1             13             21
          14              42                16                20         4        10           808           813                 0                 8              3             11
          15              37                18                20         8        12          1427          1443                 0                 0             27             32
          16              40                20                20        59        59         17724         17735               238               238             29             30
          17              37                17                17        16        16          5285          5295                 0                 0            108            108
          18              30                20                20         5         5          2010          2018                 5                 5             45             46
          19              86                20                20        21        21          1918          1929                 2                 2             33             34
          20              36                20                20         6         6          1300          1309                 0                 0             17             18
          21              27                16                20         2        11           485           493                 0                 4              9             17
