eps:         2.5
min_samples: 40
Silhouette score including outliers: -0.5346563626987257
Silhouette score excluding outliers: 0.4760563236566994

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1           13061                16                21         1       246             0         29378                 0               372              0            408
           0            3876                16                21         1         8            47           180                 0                 4              1             10
           1              56                20                20        20        20          3203          3208                51                51             16             17
           2             109                17                17        19        19          2395          2403                30                30             28             29
           3              47                16                16        30        30          1658          1659                 0                 0              9             10
           4              95                16                20         1         7           201           208                 0                 2              5             11
           5             134                16                20         1         7           181           191                 0                 2              4             10
           6              70                18                18        17        17          4567          4574                 8                 8             84             84
           7              95                16                16       121       121           761           764                 3                 3              6              6
           8              40                19                19        16        16           521           521                 4                 4              6              6
           9              42                17                20        11        11          1113          1117                 0                 1             18             18
          10              43                16                21         2         6           227           231                 0                 1              7             11
          11              49                18                18        19        19           522           525                 0                 1              5              5
          12              83                20                20        21        21          1921          1925                 2                 2             33             34
          13              41                16                20         2         6           213           217                 0                 2              6             10
          14              27                16                19         2         6           198           201                 0                 2              6             10
