eps:         5.0
min_samples: 45
Silhouette score including outliers: -0.2469563596747731
Silhouette score excluding outliers: 0.47841750875002975

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            9351                16                21         1       246             0         29378                 0               372              0            408
           0            7605                16                21         1        15            32           344                 0                 8              1             19
           1              62                20                20        20        20          3203          3214                51                51             16             18
           2             125                17                17        19        19          2391          2408                30                30             27             30
           3              50                16                20        28        30          1654          1662                 0                 0              9             11
           4             100                16                20         2        15           377           391                 0                 4              3             13
           5             117                16                20         2        10           343           358                 0                 5              4             18
           6              73                18                18        17        17          4564          4576                 8                 8             84             84
           7             101                16                17       121       121           761           771                 3                 4              6              8
           8             104                17                20        10        19           518           529                 0                 7              2              7
           9              86                20                20        21        21          1918          1929                 2                 2             33             34
          10              48                17                20         9        11          1113          1122                 0                 1             16             19
          11              46                16                20         3        10           452           459                 0                 3             11             19
