eps:         6.0
min_samples: 20
Silhouette score including outliers: -0.09901835624476685
Silhouette score excluding outliers: 0.3100270821488345

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            5810                16                21         1       246             0         29378                 0               372              0            408
           0           10330                16                21         1        26            26           551                 0                12              1             29
           1              70                16                21         2        14           580           599                 0                 8              9             25
           2              63                20                20        20        20          3197          3214                51                51             16             18
           3              37                16                18        19        25           430           445                 0                 5              8             15
           4             129                17                17        19        19          2391          2413                30                30             27             30
           5              35                20                20        61        61          5401          5409                92                92             20             21
           6              38                16                20         2         8           723           738                 0                 5             15             27
           7              46                16                20         2        11           644           659                 0                 4             11             23
           8              50                16                20        28        30          1654          1662                 0                 0              9             11
           9              28                17                17       123       123          1487          1493                 1                 1              8              9
          10              98                16                20         2        14           687           711                 0                 3             11             27
          11              22                20                20        19        19          8219          8222               105               105             20             20
          12              44                20                20        29        29          4414          4428                55                55             13             15
          13              27                16                20         9        17           656           666                 0                 1              9             21
          14              75                18                18        17        17          4561          4581                 8                 8             84             84
          15              27                17                20        10        17          1131          1148                 0                 4             17             21
          16              36                19                20        60        60          5138          5149                11                11             32             32
          17             101                16                17       121       121           761           771                 3                 4              6              8
          18              33                16                20         9        17          1316          1327                 0                 4             25             34
          19              36                16                20         5        17           730           742                 0                 3             14             25
          20             106                16                19        14        21           515           529                 0                 9              2              9
          21              31                16                20         5        16           673           685                 0                 2             15             29
          22              54                16                20         2        14           564           581                 0                 6             10             23
          23              52                16                20         9        15          1105          1122                 0                 1             13             21
          24              43                16                20         3        15           626           641                 0                 5             10             27
          25              26                16                20         5        15           614           623                 0                 6             10             18
          26              42                16                20         4        10           808           813                 0                 8              3             11
          27              37                18                20         8        12          1427          1443                 0                 0             27             32
          28              40                20                20        59        59         17724         17735               238               238             29             30
          29              30                20                20         5         5          2010          2018                 5                 5             45             46
          30              37                17                17        16        16          5285          5295                 0                 0            108            108
          31              86                20                20        21        21          1918          1929                 2                 2             33             34
          32              29                19                19        14        14          3190          3202                 0                 0             47             49
          33              21                20                20        14        14          1787          1795                20                20             25             25
          34              20                17                20        11        14          1156          1164                 0                 1             18             22
          35              36                20                20         6         6          1300          1309                 0                 0             17             18
          36              22                20                20        11        11          3535          3547                54                54             13             14
          37              21                16                19         2         7           561           569                 0                 1             19             27
