eps:         1.0
min_samples: 30
Silhouette score including outliers: -0.7993839391791719
Silhouette score excluding outliers: 0.9889381148418998

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1           16885                16                21         1       246             0         29378                 0               372              0            408
           0              53                20                20        20        20          3203          3206                51                51             17             17
           1              96                17                17        19        19          2398          2401                30                30             29             29
           2              31                20                20        61        61          5401          5403                92                92             20             20
           3              46                16                16        30        30          1658          1658                 0                 0              9              9
           4              32                19                19         5         5           702           704                 0                 0             15             15
           5              64                18                18        17        17          4568          4572                 8                 8             84             84
           6              33                19                19        60        60          5138          5139                11                11             32             32
           7              93                16                16       121       121           761           763                 3                 3              6              6
           8              40                16                18         2         3           112           115                 0                 1              3              5
           9              40                19                19        16        16           521           521                 4                 4              6              6
          10              39                20                20        11        11          1113          1115                 1                 1             18             18
          11              35                20                20        59        59         17724         17724               238               238             29             29
          12              46                18                18        19        19           522           523                 0                 1              5              5
          13              34                17                17        16        16          5288          5290                 0                 0            108            108
          14              78                20                20        21        21          1921          1923                 2                 2             33             33
          15              42                16                19         2         2           106           108                 0                 1              2              4
          16              32                20                20         6         6          1300          1301                 0                 0             17             17
          17              31                18                18         4         4           809           809                 0                 0              5              5
          18             118                18                18         2         2            95            95                 0                 0              1              1
