eps:         1.5
min_samples: 5
Silhouette score including outliers: -0.6473111550919418
Silhouette score excluding outliers: -0.16511184955431216

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
         108              15                16                16         2         2           437           437                 1                 1             19             19
         109               5                18                18        52        52           489           489                 4                 4              7              7
         110              35                20                20        59        59         17724         17724               238               238             29             29
         111               6                16                19         2         4           354           356                 0                 0             12             12
         112              46                18                18        19        19           522           523                 0                 1              5              5
         113              27                20                20         5         5          2012          2013                 5                 5             45             45
         114               4                16                19         5         6           314           315                 0                 1             12             13
         115               5                16                18         2         2           212           214                 0                 0             13             14
         116               8                20                20        31        31          2591          2591                 5                 6             15             15
         117              10                19                19        11        11           737           737                 0                 0             19             19
         118               8                17                17        10        10           239           239                 2                 2              6              6
         119               5                20                20        21        21          2637          2637                 8                 8             30             30
         120              12                16                16        11        11           169           169                 1                 1              9              9
         121              16                18                18        11        11           477           478                 4                 4             15             15
         122              16                19                19        11        11           524           525                 1                 1             10             10
         123              16                20                20        14        14          1164          1164                 0                 0             22             22
         124               5                16                19         3         4           322           324                 0                 0              7              8
         125               5                16                19         2         3           359           361                 0                 1             14             15
         126              23                18                18         5         5           525           525                 0                 0             25             25
         127               7                16                18         5         6           207           209                 0                 0             11             13
         128               5                19                19        18        18          2592          2592                57                57             19             19
         129              34                17                17        16        16          5288          5290                 0                 0            108            108
         130              84                20                20        21        21          1921          1926                 2                 2             33             34
         131               5                17                19         8        10           204           206                 0                 0              5              6
         132               6                18                18         7         7           532           532                 0                 0             14             14
         133              11                17                17         2         2           568           569                 0                 0             27             27
         134               8                16                17         5         6           882           884                 0                 0             36             37
         135               8                17                17         4         4           846           846                 0                 0             36             36
         136               5                16                17         2         4           302           304                 0                 0              9             10
         137               8                19                19        70        70          5205          5205               158               158             23             23
         138               6                20                20        20        20          3208          3209                51                51             16             17
         139               5                17                17        18        18          2664          2664                 0                 0             91             91
         140              24                19                19        14        14          3196          3197                 0                 0             47             47
         141               7                19                19        16        16          1261          1261                24                24              8              8
         142              14                17                17        22        22          2640          2641                29                29              4              4
         143              12                19                19         4         4           730           731                 0                 0             21             21
         144               9                19                19         6         6           462           464                 9                 9             10             10
         145               8                16                19        14        15           164           167                 0                 0              3              5
         146               6                18                18        20        20          2877          2877                25                25             50             50
         147               5                17                19         7         8           313           314                 0                 0             10             12
         148               8                16                19         2         3           271           273                 0                 1             12             15
         149               7                20                20        17        17           731           732                 4                 4              5              5
         150               6                20                20        29        29          4428          4430                55                55             13             14
         151               5                19                19        19        19          1769          1769                19                19             20             20
         152              11                17                17         6         6           580           581                 0                 0             30             30
