eps:         9.0
min_samples: 40
Silhouette score including outliers: 0.12276759465506933
Silhouette score excluding outliers: 0.5376844597443278

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            5137                16                21         1       246             0         29378                 0               372              0            408
           0           11465                16                21         1        31            23           670                 0                16              1             35
           1             234                16                21         2        24           668           719                 0                11              4             33
           2              64                20                20        20        20          3197          3218                51                51             16             18
           3             131                17                17        19        19          2385          2417                30                30             27             30
           4              51                16                20        28        31          1649          1662                 0                 2              9             14
           5              53                20                20        29        29          4414          4433                55                55             13             15
           6             165                16                21         2        19           719           756                 0                10              6             31
           7              76                18                18        17        17          4561          4583                 8                 8             84             84
           8             102                16                17       121       121           761           775                 3                 4              6              8
           9              69                16                21         2        12           802           821                 0                 8              1             21
          10              88                16                20         3        18          1103          1126                 0                 9             11             32
          11              40                16                20         3        17          1137          1150                 0                 5             17             22
          12              97                17                20         6        21          1918          1934                 0                 2             30             38
          13              55                16                20         5        19          1423          1443                 0                 2             24             35
          14              41                20                20        59        59         17724         17739               238               238             29             30
