eps:         9.5
min_samples: 30
Silhouette score including outliers: 0.1784663496389921
Silhouette score excluding outliers: 0.5344529953149848

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            4376                16                21         1       246             0         29378                 0               372              0            408
           0           12243                16                21         1        31            22           789                 0                18              1             37
           1             166                16                21         2        16           795           841                 0                 8              1             32
           2              65                20                20        20        27          3197          3218                51                53             10             18
           3             131                17                17        19        19          2385          2417                30                30             27             30
           4              36                20                20        61        61          5401          5411                92                92             20             21
           5              52                16                20        28        31          1649          1670                 0                 2              9             15
           6              59                16                20         5        19          1423          1448                 0                 2             24             35
           7              53                20                20        29        29          4414          4433                55                55             13             15
           8              76                18                18        17        17          4561          4583                 8                 8             84             84
           9              45                16                20         3        17          1131          1152                 0                 5             17             29
          10              36                19                20        60        60          5138          5149                11                11             32             32
          11             103                16                17       121       121           761           779                 3                 4              6              8
          12              46                16                20         3        19          1311          1332                 0                 4             19             37
          13              94                16                21         3        18          1097          1128                 0                 9             11             34
          14              41                20                20        59        59         17724         17739               238               238             29             30
          15              32                17                20         5        10          2003          2018                 0                 5             42             46
          16              40                17                17        16        16          5276          5301                 0                 0            107            108
          17              98                17                20         6        22          1918          1934                 0                 6             30             41
          18              37                16                20         6         6          1300          1316                 0                 0             11             18
          19              39                16                20         2        16           877           894                 0                 5             15             29
