eps:         9.0
min_samples: 45
Silhouette score including outliers: 0.09936512388383674
Silhouette score excluding outliers: 0.5277087433020922

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            5367                16                21         1       246             0         29378                 0               372              0            408
           0           11101                16                21         1        27            23           611                 0                16              1             35
           1             218                16                21         2        21           670           719                 0                 8              4             33
           2              64                20                20        20        20          3197          3218                51                51             16             18
           3             131                17                17        19        19          2385          2417                30                30             27             30
           4             259                16                20         1        19           611           667                 0                11              5             27
           5              51                16                20        28        31          1649          1662                 0                 2              9             14
           6             149                16                21         2        19           719           755                 0                10              7             31
           7              50                20                20        29        29          4414          4430                55                55             13             15
           8              76                18                18        17        17          4561          4583                 8                 8             84             84
           9             102                16                17       121       121           761           775                 3                 4              6              8
          10              69                16                21         2        12           802           821                 0                 8              1             21
          11              88                16                20         3        18          1103          1126                 0                 9             11             32
          12              97                17                20         6        21          1918          1934                 0                 2             30             38
          13              46                17                20         8        19          1429          1440                 0                 2             27             35
