eps:         5.5
min_samples: 45
Silhouette score including outliers: -0.18111144561233447
Silhouette score excluding outliers: 0.48819251123697655

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            8598                16                21         1       246             0         29378                 0               372              0            408
           0            8240                16                21         1        17            30           374                 0                 9              1             22
           1             222                16                20         1        14           430           462                 0                 5              8             24
           2              62                20                20        20        20          3203          3214                51                51             16             18
           3             125                17                17        19        19          2391          2408                30                30             27             30
           4              50                16                20        28        30          1654          1662                 0                 0              9             11
           5             154                16                20         1        16           374           392                 0                 7              3             18
           6              73                18                18        17        17          4564          4576                 8                 8             84             84
           7             101                16                17       121       121           761           771                 3                 4              6              8
           8             108                16                20        10        21           515           529                 0                 9              2              9
           9              86                20                20        21        21          1918          1929                 2                 2             33             34
          10              49                17                20         9        13          1113          1122                 0                 1             13             19
