eps:         6.5
min_samples: 45
Silhouette score including outliers: -0.05394965308677108
Silhouette score excluding outliers: 0.5359912835555772

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            7347                16                21         1       246             0         29378                 0               372              0            408
           0            9568                16                21         1        21            28           486                 0                12              1             25
           1              63                20                20        20        20          3197          3214                51                51             16             18
           2             127                17                17        19        19          2391          2411                30                30             27             30
           3              50                16                20        28        30          1654          1662                 0                 0              9             11
           4              88                16                20         2        16           692           711                 0                 3             11             26
           5              87                16                21         2        12           524           539                 0                 6             12             26
           6              75                18                18        17        17          4561          4581                 8                 8             84             84
           7             101                16                17       121       121           761           771                 3                 4              6              8
           8             208                16                20         2        21           509           533                 0                 9              2             19
           9              68                17                20         8        17          1107          1125                 0                 4             11             24
          10              86                20                20        21        21          1918          1929                 2                 2             33             34
