eps:         1.5
min_samples: 10
Silhouette score including outliers: -0.7016768258162567
Silhouette score excluding outliers: -0.08889780094982057

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1           12445                16                21         1       246             0         29378                 0               372              0            408
           0              27                16                19         3         5           227           231                 0                 1              7             10
           1            3255                16                21         1         8            35           167                 0                 2              1             10
           2             125                16                20         1         7           194           208                 0                 2              5             10
           3             175                16                20         2         7           166           180                 0                 1              4             10
           4              12                20                20        44        44          4946          4946                71                71             28             28
           5              53                20                20        20        20          3203          3206                51                51             17             17
           6              29                17                18        24        24           435           437                 0                 0              9             10
           7             107                17                17        19        19          2397          2404                30                30             28             29
           8              31                20                20        61        61          5401          5403                92                92             20             20
           9              47                16                16        30        30          1658          1659                 0                 0              9             10
          10              23                17                17       123       123          1487          1487                 1                 1              8              8
          11              11                20                20        17        17          1107          1107                 4                 4             12             12
          12              33                16                19         4         5           702           704                 0                 0             15             16
          13              17                16                20         4         6           211           214                 0                 0              6              9
          14              21                20                20        19        19          8219          8220               105               105             20             20
          15              30                19                20         9         9           381           385                 1                 1              5              6
          16              25                20                20        29        29          4418          4420                55                55             13             13
          17             116                16                20         1         6           181           193                 0                 1              5             11
          18              10                16                19         3         4           220           222                 0                 1              8             10
          19              16                16                18         1         4           188           191                 0                 0              9             12
          20              13                19                19        16        16           659           661                 1                 1             13             13
          21              12                20                20         9         9           395           395                 5                 5              8              8
          22              11                19                19        64        64          7405          7405                 1                 1             99             99
          23              64                18                18        17        17          4568          4572                 8                 8             84             84
          24              14                20                20        19        19          2488          2489                11                11             49             49
          25              17                20                20        14        14          1139          1139                 0                 0             18             18
          26              33                19                19        60        60          5138          5139                11                11             32             32
          27              95                16                16       121       121           761           764                 3                 3              6              6
          28              14                20                20        59        59         17664         17664               236               236             29             29
          29              23                17                17        12        12          1317          1319                 0                 0             26             26
          30              10                20                20        33        33          3261          3261                48                48             19             19
          31              13                17                18         6         7           132           134                 2                 3              3              4
          32              34                16                19         3         4           107           112                 3                 3              4              5
          33              10                16                16         2         2          1921          1921                 0                 0             52             52
          34              12                20                20        29        29          3413          3413                14                14             12             12
          35              19                16                19         2         5           284           288                 0                 0             10             13
          36              40                19                19        16        16           521           521                 4                 4              6              6
          37              20                16                19         2         4           280           283                 0                 0             10             13
          38              10                19                19        55        55          7846          7846                88                88             10             10
          39              40                17                20        11        11          1113          1115                 0                 1             18             18
          40              10                16                19         5         6           279           279                 0                 0              6              8
          41              10                21                21        18        18          4361          4361                55                55             22             22
          42              29                20                20         9         9          1434          1436                 0                 0             28             28
          43              15                16                16         2         2           437           437                 1                 1             19             19
          44              35                20                20        59        59         17724         17724               238               238             29             29
          45              15                16                19         3         4            97           100                 3                 3              4              5
          46              46                18                18        19        19           522           523                 0                 1              5              5
          47              27                20                20         5         5          2012          2013                 5                 5             45             45
          48              10                19                19        11        11           737           737                 0                 0             19             19
          49              12                16                16        11        11           169           169                 1                 1              9              9
          50              16                18                18        11        11           477           478                 4                 4             15             15
          51              16                19                19        11        11           524           525                 1                 1             10             10
          52              16                20                20        14        14          1164          1164                 0                 0             22             22
          53              14                16                19         2         5           179           181                 0                 1              8             11
          54              23                18                18         5         5           525           525                 0                 0             25             25
          55              34                17                17        16        16          5288          5290                 0                 0            108            108
          56              78                20                20        21        21          1921          1923                 2                 2             33             33
          57              15                16                19         2         4           249           252                 0                 0              9             11
          58              11                17                17         2         2           568           569                 0                 0             27             27
          59              24                19                19        14        14          3196          3197                 0                 0             47             47
          60              14                17                17        22        22          2640          2641                29                29              4              4
          61              12                19                19         4         4           730           731                 0                 0             21             21
          62              11                17                17         6         6           580           581                 0                 0             30             30
          63              14                16                20         4         6           214           216                 0                 1              5              8
          64              20                20                20        14        14          1787          1789                20                20             25             25
          65              10                16                19         2         4           236           238                 0                 0             10             12
          66              16                17                17        11        11           680           680                 0                 0             23             23
          67              11                18                18         5         5           271           272                 0                 0             13             13
          68              10                16                17         2         3           216           218                 0                 0              8             10
          69              17                16                19         3         6           233           236                 0                 1              7              9
          70              32                20                20         6         6          1300          1301                 0                 0             17             17
          71              11                20                20        29        29          4414          4414                55                55             13             13
          72              18                20                20        11        11          3535          3537                54                54             13             14
          73              18                19                19         5         5           695           697                 0                 0             21             21
          74              31                18                18         4         4           809           809                 0                 0              5              5
          75              25                18                18        17        17           422           424                 2                 2             16             16
          76              10                16                17         9        10            92            94                 0                 0              2              4
          77               6                16                20         4         6           160           160                 0                 0              4              6
          78              14                18                18         9        10           456           458                 0                 0             18             18
