eps:         8.0
min_samples: 55
Silhouette score including outliers: -0.019249487882178794
Silhouette score excluding outliers: 0.5022462117686758

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            6727                16                21         1       246             0         29378                 0               372              0            408
           0           10081                16                21         1        23            28           499                 0                13              1             28
           1             423                16                21         2        21           500           545                 0                11              2             28
           2              64                20                20        20        20          3197          3218                51                51             16             18
           3             130                17                17        19        19          2385          2413                30                30             27             30
           4             107                16                21         2        16           692           714                 0                 3              9             28
           5              76                18                18        17        17          4561          4583                 8                 8             84             84
           6             101                16                17       121       121           761           771                 3                 4              6              8
           7              88                20                20        21        21          1918          1934                 2                 2             33             34
           8              71                16                20         5        17          1105          1122                 0                 4             11             25
