eps:         2.0
min_samples: 10
Silhouette score including outliers: -0.620721943421191
Silhouette score excluding outliers: -0.04261417426515822

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1           11139                16                21         1       246             0         29378                 0               372              0            408
           0             112                16                21         2         7           225           238                 0                 3              5             12
           1            4664                16                21         1        10            34           224                 0                 4              1             13
           2              13                20                20        44        44          4944          4946                71                71             28             28
           3              55                20                20        20        20          3203          3208                51                51             17             17
           4              29                17                18        24        24           435           437                 0                 0              9             10
           5             117                17                17        19        19          2397          2408                30                30             28             30
           6              31                20                20        61        61          5401          5403                92                92             20             20
           7              47                16                16        30        30          1658          1659                 0                 0              9             10
           8              23                17                17       123       123          1487          1487                 1                 1              8              8
           9              13                16                19         6         9           191           194                 0                 1              5              7
          10              10                16                16        14        14           621           623                 0                 0             17             17
          11              37                16                19         2         6           240           247                 0                 2              6             12
          12              59                16                19         2         5           279           289                 0                 1              8             13
          13              11                20                20        17        17          1107          1107                 4                 4             12             12
          14              35                16                19         4         5           702           706                 0                 0             15             16
          15              22                20                20        19        19          8219          8222               105               105             20             20
          16              10                16                19         2         4           241           244                 0                 2             13             15
          17              33                19                20         9         9           381           387                 1                 1              5              6
          18              26                20                20        29        29          4418          4421                55                55             13             13
          19              23                16                19         1         4           257           262                 0                 1             10             13
          20              32                16                21         2         6           248           253                 0                 2              8             11
          21              13                16                19         2         5           223           226                 0                 2              5              8
          22              15                17                19        15        17           659           662                 0                 1             13             14
          23              14                20                20         9         9           395           397                 5                 5              8              8
          24              11                19                19        64        64          7405          7405                 1                 1             99             99
          25              70                18                18        17        17          4567          4574                 8                 8             84             84
          26              14                20                20        19        19          2488          2489                11                11             49             49
          27              19                20                20        14        14          1139          1142                 0                 0             18             18
          28              21                16                19         2         6           272           277                 0                 0             10             13
          29              33                19                19        60        60          5138          5139                11                11             32             32
          30              97                16                16       121       121           761           766                 3                 3              6              6
          31              14                20                20        59        59         17664         17664               236               236             29             29
          32              23                17                17        12        12          1317          1319                 0                 0             26             26
          33              10                20                20        33        33          3261          3261                48                48             19             19
          34              18                16                19         6         9           130           135                 2                 4              3              4
          35              10                16                16         2         2          1921          1921                 0                 0             52             52
          36              12                20                20        29        29          3413          3413                14                14             12             12
          37              11                20                20        27        27          1899          1904                18                19             27             27
          38              14                16                18        13        14           138           142                 0                 0              2              6
          39              10                16                20         2         4           264           267                 0                 1             10             13
          40              40                19                19        16        16           521           521                 4                 4              6              6
          41              10                19                19        55        55          7846          7846                88                88             10             10
          42              42                17                20        11        11          1113          1117                 0                 1             18             18
          43              11                16                19         5         6           279           281                 0                 0              6              8
          44              10                21                21        18        18          4361          4361                55                55             22             22
          45              34                20                20         9         9          1431          1438                 0                 0             27             28
          46              15                16                16         2         2           437           437                 1                 1             19             19
          47              35                20                20        59        59         17724         17724               238               238             29             29
          48              49                18                18        19        19           522           525                 0                 1              5              5
          49              28                20                20         5         5          2010          2013                 5                 5             45             45
          50              11                19                19        11        11           737           739                 0                 0             19             19
          51              12                16                16        11        11           169           169                 1                 1              9              9
          52              18                18                18        11        11           477           480                 4                 4             15             15
          53              16                19                19        11        11           524           525                 1                 1             10             10
          54              16                20                20        14        14          1164          1164                 0                 0             22             22
          55              23                18                18         5         5           525           525                 0                 0             25             25
          56              36                17                17        16        16          5285          5290                 0                 0            108            108
          57              81                20                20        21        21          1921          1924                 2                 2             33             33
          58              11                17                17         2         2           568           569                 0                 0             27             27
          59              24                19                19        14        14          3196          3197                 0                 0             47             47
          60              14                17                17        22        22          2640          2641                29                29              4              4
          61              15                16                19         4         5           728           731                 0                 0             21             23
          62              11                17                17         6         6           580           581                 0                 0             30             30
          63              20                20                20        14        14          1787          1789                20                20             25             25
          64              17                17                18        11        11           680           682                 0                 0             23             23
          65              10                18                18         3         3          1120          1123                 0                 0             74             74
          66              24                16                19         2         5           268           272                 0                 1             10             13
          67              11                20                20        11        11          3491          3495                54                54             13             13
          68              10                17                19         7         8           459           460                 0                 0              9             11
          69              33                20                20         6         6          1300          1303                 0                 0             17             17
          70              11                20                20        29        29          4414          4414                55                55             13             13
          71              10                16                19         3         5           333           335                 0                 0              7              9
          72              11                20                20        26        26          4942          4945               102               102             16             16
          73               5                16                19         2         3           231           232                 0                 2             10             11
          74              19                20                20        11        11          3535          3539                54                54             13             14
          75              10                16                18         2         4           208           210                 0                 1             12             14
          76              18                19                19         5         5           695           697                 0                 0             21             21
          77               3                16                19         4         5           209           210                 0                 0              9             10
          78              10                19                19        21        21           767           770                 1                 1             15             15
          79              31                18                18         4         4           809           809                 0                 0              5              5
          80              12                16                17         2         3           301           305                 0                 1              9             12
          81              26                18                18        17        17           420           424                 2                 2             16             16
          82              10                16                20         5         9           267           269                 0                 0              8             10
          83               9                16                18         2         4           240           242                 0                 1             11             13
          84              16                18                19         9        10           456           459                 0                 0             18             18
          85              10                20                20        19        19          2312          2315                 2                 2             15             15
