eps:         7.5
min_samples: 30
Silhouette score including outliers: 0.07546045308963759
Silhouette score excluding outliers: 0.511705865855125

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            5413                16                21         1       246             0         29378                 0               372              0            408
           0           10949                16                21         1        30            26           612                 0                15              1             35
           1              64                20                20        20        20          3197          3218                51                51             16             18
           2             130                17                17        19        19          2385          2413                30                30             27             30
           3              36                20                20        61        61          5401          5411                92                92             20             21
           4             114                16                20         2        17           718           748                 0                 6             11             31
           5             122                16                20         1        15           622           660                 0                 7             10             27
           6              51                16                20        28        31          1649          1662                 0                 2              9             14
           7             184                16                20         2        21           669           712                 0                 5              9             30
           8              48                20                20        29        29          4414          4429                55                55             13             15
           9              76                18                18        17        17          4561          4583                 8                 8             84             84
          10              36                19                20        60        60          5138          5149                11                11             32             32
          11             101                16                17       121       121           761           771                 3                 4              6              8
          12              54                16                21         4        11           804           817                 0                 8              3             16
          13              38                16                20         7        19          1312          1331                 0                 4             25             36
          14              78                16                20         4        18          1104          1126                 0                 4             11             27
          15              38                16                20         2        15           613           623                 0                 6             10             21
          16              51                16                20         5        19          1424          1443                 0                 2             24             35
          17              40                20                20        59        59         17724         17735               238               238             29             30
          18              31                20                20         5         5          2003          2018                 5                 5             45             46
          19              39                17                17        16        16          5285          5301                 0                 0            108            108
          20              34                16                20         5        14          1139          1148                 0                 5             17             22
          21              87                20                20        21        21          1918          1933                 2                 2             33             34
          22              36                20                20         6         6          1300          1309                 0                 0             17             18
          23              18                16                21         3        16           747           754                 0                 2             11             22
