eps:         8.0
min_samples: 25
Silhouette score including outliers: 0.16136917123255132
Silhouette score excluding outliers: 0.5635947997735855

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            4832                16                21         1       246             0         29378                 0               372              0            408
           0           11633                16                21         1        31            23           714                 0                16              1             35
           1              64                20                20        20        20          3197          3218                51                51             16             18
           2             219                16                21         1        19           718           772                 0                 8              8             31
           3             130                17                17        19        19          2385          2413                30                30             27             30
           4              36                20                20        61        61          5401          5411                92                92             20             21
           5              51                16                20        28        31          1649          1662                 0                 2              9             14
           6              29                17                19       123       123          1487          1500                 1                 1              8              9
           7              53                20                20        29        29          4414          4433                55                55             13             15
           8              76                18                18        17        17          4561          4583                 8                 8             84             84
           9              40                16                21         5        23          1137          1152                 0                 5             17             22
          10              36                19                20        60        60          5138          5149                11                11             32             32
          11             101                16                17       121       121           761           771                 3                 4              6              8
          12              56                16                21         3        11           804           818                 0                 8              3             16
          13              39                16                20         4        19          1312          1331                 0                 4             25             36
          14              23                16                20         2        13           800           812                 0                 3             15             26
          15              82                16                20         3        18          1104          1126                 0                 4             11             31
          16              55                16                20         5        19          1423          1443                 0                 2             24             35
          17              40                20                20        59        59         17724         17735               238               238             29             30
          18              31                20                20         5         5          2003          2018                 5                 5             45             46
          19              39                17                17        16        16          5285          5301                 0                 0            108            108
          20              88                20                20        21        21          1918          1934                 2                 2             33             34
          21              29                19                19        14        14          3190          3202                 0                 0             47             49
          22              36                20                20         6         6          1300          1309                 0                 0             17             18
          23              25                16                21         3        14           827           840                 0                 4             14             26
          24              25                16                20         2        16           878           886                 0                 4             15             25
