eps:         4.5
min_samples: 50
Silhouette score including outliers: -0.3129675506149534
Silhouette score excluding outliers: 0.4555149042390131

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1           10374                16                21         1       246             0         29378                 0               372              0            408
           0            6774                16                21         1        13            35           294                 0                 7              1             18
           1              61                20                20        20        20          3203          3212                51                51             16             18
           2             122                17                17        19        19          2391          2407                30                30             27             30
           3              52                16                19         2         8           331           339                 0                 3              7             15
           4              73                18                18        17        17          4564          4576                 8                 8             84             84
           5              99                16                16       121       121           761           767                 3                 4              6              8
           6              58                16                20         2         8           300           308                 0                 3              6             14
           7              54                16                20         1         9           308           315                 0                 3              8             16
           8              52                18                18        19        19           518           528                 0                 1              5              5
           9              86                20                20        21        21          1918          1929                 2                 2             33             34
          10              63                16                20         2         7           346           356                 0                 4              7             15
