eps:         7.5
min_samples: 55
Silhouette score including outliers: -0.030949972214265174
Silhouette score excluding outliers: 0.5181646520540703

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            6991                16                21         1       246             0         29378                 0               372              0            408
           0            9938                16                21         1        23            28           489                 0                13              1             28
           1              64                20                20        20        20          3197          3218                51                51             16             18
           2             130                17                17        19        19          2385          2413                30                30             27             30
           3              90                16                20         2        13           692           711                 0                 3             11             28
           4              76                18                18        17        17          4561          4583                 8                 8             84             84
           5             101                16                17       121       121           761           771                 3                 4              6              8
           6             335                16                21         2        20           509           540                 0                11              2             26
           7              87                20                20        21        21          1918          1933                 2                 2             33             34
           8              56                16                20        11        17          1105          1116                 0                 4             11             21
