  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
         110               4                13                16         6         7           257           258                 0                 0             11             11
         111               6                13                13         2         2           715           715                 0                 0            104            104
         112               7                11                16        16        17            91            92                 0                 0              2              3
         113              10                12                19         3         5           385           386                 0                 0             11             12
         114              17                11                17         1         3           344           347                 0                 0             12             17
         115               5                12                14         2         2           212           213                 0                 0             22             24
         116               3                13                15         3         3           162           162                 0                 0              3              3
         117              11                12                19         5         7           261           263                 0                 0              9             11
         118               4                17                17        18        18          2459          2459                 0                 0             31             31
         119               3                20                20        19        19          1561          1561                20                20             29             29
         120               3                11                15         4         4           265           266                 0                 0              6              7
         121               5                17                17        28        28          4510          4510                 0                 0             30             30
         122               3                17                17        19        19          2263          2263                27                27             28             28
         123               3                14                18         6         7           168           168                 0                 0              4              4
         124               7                15                19         3         4           313           316                 0                 0             12             13
         125               6                 7                11         1         1           248           249                 0                 0              6              8
         126              11                 8                17         1         2           298           299                 0                 0             17             19
         127              22                20                20        19        19          8219          8220               105               105             20             20
         128               4                10                16         8         9           136           136                 0                 0              7              8
         129               4                13                17         9         9           248           249                 0                 0              6              7
         130               3                15                19        11        11           284           284                 0                 0              5              7
         131               4                12                16         6         8           228           229                 0                 0              8              8
         132               5                20                20        45        45           936           936                 0                 0             14             14
         133               6                 7                15         1         2           186           187                 0                 0             21             22
         134              12                 9                17         4         6           251           254                 0                 0              5              6
         135               4                 6                 8         1         1            37            38                 0                 0             15             16
         136              30                19                20         9         9           381           385                 1                 1              5              6
         137               3                10                14         2         2           345           345                 0                 0             30             31
         138               4                15                18         5         5           332           333                 0                 0             12             13
         139               3                20                20         8         8          1500          1500                 2                 2              4              4
         140              26                20                20        29        29          4418          4421                55                55             13             13
         141               4                12                14         5         5           104           104                 0                 0             11             13
         142               4                19                19        33        33         14030         14030                 0                 0            102            102
         143               9                 5                12         1         1            42            45                 0                 0             16             20
         144               4                18                18        14        14          1870          1870                 2                 2             39             39
         145              16                 6                12         1         2           208           210                 0                 0             24             26
         146               6                16                19         6         7           372           373                 0                 0             13             14
         147               3                15                15         5         5          3957          3957                 0                 0             74             74
         148               6                10                15         1         2           282           284                 0                 0             21             22
         149              26                 2                17         1         1             0             0                 0                 0              0              0
