eps:         9.0
min_samples: 10
Silhouette score including outliers: -0.5490161502903589
Silhouette score excluding outliers: -0.3105708859482904

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            6972                16                21         1       246             0         29378                 0               372              0            408
           0            7871                16                21         1        27            23           787                 0                 0              2             40
           1             107                16                21         2        17           209           259                 1                 1              6             20
           2              15                20                20        44        44          4944          4950                71                71             28             28
           3              62                20                20        20        20          3197          3218                51                51             17             17
           4              56                16                19         2        11           121           162                 2                 2              4             12
           5             419                16                20         1        15            62           205                 1                 1              3             16
           6             131                17                17        19        19          2385          2417                30                30             27             30
           7              33                20                20        61        61          5401          5411                92                92             20             20
           8              48                16                16        30        30          1654          1662                 0                 0              9              9
           9              26                17                17       123       123          1487          1492                 1                 1              8              8
          10              16                20                20        17        17          1103          1111                 4                 4             12             12
          11              57                16                20         2        16           688           715                 0                 0             13             19
          12              18                16                18         3        10           875           894                 0                 0             27             41
          13              62                16                20         1        17           222           258                 2                 2              5             14
          14              22                20                20        19        19          8219          8222               105               105             20             20
          15              31                17                20         9        13           378           391                 1                 1              6              6
          16              43                20                20        29        29          4414          4430                55                55             13             13
          17              14                16                20         2        11           119           135                 0                 0              2              2
          18              41                16                20         1        16           161           194                 2                 2              4              9
          19              15                20                20        59        59         17658         17664               236               236             29             29
          20              16                19                19        16        17           659           666                 1                 1             12             13
          21             113                16                19         1        10            71           132                 3                 4              3              7
          22              13                16                19         2         8           289           299                 1                 1              9             14
          23              78                16                20         2        15           795           846                 0                 0             15             32
          24              15                20                20         9        17           393           397                 5                 5              8              8
          25              11                18                18         3         3          1116          1123                 0                 0             73             74
          26              22                16                18         1         8            48            76                 0                 0              1              1
          27              13                19                19        64        64          7405          7408                 1                 1             99             99
          28              76                18                18        17        17          4561          4583                 8                 8             84             84
          29              15                20                20        19        19          2488          2493                11                11             49             49
          30              13                16                18         2        11           854           868                 0                 0             23             31
          31              28                17                20        14        17          1126          1152                 0                 0             17             19
          32              36                19                20        60        60          5138          5149                11                11             32             32
          33              10                17                17        19        19          1946          1953                26                26             27             27
          34              18                16                19         2        14           143           163                 0                 0              2              2
          35             100                16                17       121       121           761           775                 3                 3              6              6
          36              21                16                19         3         5           264           291                 6                 6              7             11
          37              13                20                20        27        27          1895          1910                18                19             27             27
          38              15                20                20        26        26          4942          4958               102               102             16             16
          39              33                17                20         3        13          1317          1331                 0                 0             24             27
          40              12                20                20        33        33          3255          3264                48                48             19             19
          41              19                16                18         2         7           130           143                 3                 3              3              3
          42              12                20                20        19        19          2305          2321                 2                 2             15             15
          43              12                16                19         2         9           880           886                 0                 0             19             25
          44              10                16                16         2         2          1921          1921                 0                 0             52             52
          45              17                16                19         3        16           908           927                 0                 0             31             41
          46              12                20                20        29        29          3413          3413                14                14             12             12
          47              21                16                20         2        10           196           210                 2                 2              5              9
          48              11                21                21        18        18          4361          4364                55                55             22             22
          49              14                16                19         3        10          1141          1150                 0                 0             19             22
          50              44                19                19        16        16           521           535                 4                 4              6              6
          51              22                19                20         4        10           459           475                 8                 9              9             11
          52              11                18                18        18        18           414           423                 2                 2             12             12
          53              10                19                19        55        55          7846          7846                88                88             10             10
          54              46                20                20        11        11          1113          1122                 1                 1             18             19
          55              51                17                20         8        19          1424          1443                 0                 0             26             35
          56              22                16                19         1         5            55            86                 2                 2              3              5
          57              14                16                20         4        16           848           855                 0                 0             16             20
          58              17                16                20         2         8           437           442                 1                 1             16             21
          59              38                20                20        59        59         17724         17735               238               238             29             29
          60              52                18                18        19        19           518           535                 0                 0              5              5
          61              31                20                20         5         5          2003          2018                 5                 5             45             46
          62              26                16                18         8        12           467           490                 4                 4             13             15
          63              19                16                19        11        11           524           534                 1                 1              9             10
          64              19                16                20        14        19          1156          1164                 0                 0             21             23
          65               5                16                20        11        16           863           872                 0                 0             19             23
          66              39                17                17        16        16          5285          5301                 0                 0            108            108
          67              88                20                20        21        21          1918          1934                 2                 2             33             34
          68              21                16                19         2        11           835           856                 0                 0             34             45
          69              29                19                19        14        14          3190          3202                 0                 0             47             49
          70              15                17                17        22        22          2640          2649                29                29              4              4
          71              17                17                19         2        11           752           770                 0                 0             11             15
          72              21                20                20        14        14          1787          1795                20                20             25             25
          73              13                18                19        19        21           765           770                 1                 1             15             17
          74              15                16                19         1        11           306           319                 1                 1             10             16
          75             127                16                18         2        10            87           102                 0                 0              1              1
          76              11                20                20        11        11          3491          3495                54                54             13             13
          77              13                16                17         2         5            34            47                 0                 0              1              1
          78              10                16                19         4         7           186           196                 2                 2              8             15
          79              11                16                18         3        13           208           218                 3                 3              6              8
          80              36                20                20         6         6          1300          1309                 0                 0             17             18
          81              14                16                18         2         5            87           104                 2                 2              3              7
          82              22                20                20        11        11          3529          3547                54                54             13             13
          83              31                18                18         4         4           809           809                 0                 0              5              5
          84              28                18                18        17        17           420           433                 2                 2             16             16
          85               5                16                19         2        10           301           305                 1                 1             11             14
          86               7                16                19         4        10           256           262                 1                 1              7              9
          87              10                20                20        20        21          2659          2667                26                26             19             20
