eps:         1.5
min_samples: 10
Silhouette score including outliers: 0.03498225502646148
Silhouette score excluding outliers: 0.11898579821812488

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            5121                16                21         1       172             0         29378                 0               240              0            367
           0           12222                16                21         1       246            22         27308                 0               372              1            408
           1               9                20                20        17        17          6891          7081               145               146             29             29
           2              68                16                20         2        54           161          5626                 0                31              9             99
           3              43                17                17        20        24           296           619                 0                 0              7             12
           4              39                16                20         3        76           119         10186                 0               137             10             80
           5              20                16                18         1        10            44           426                 0                 3              3             15
           6              37                17                20         3        57            78          9725                 0                55              4             82
           7              25                17                19         3         5            45           181                 0                 0              4             18
           8              33                19                20        60        60          4802          5157                10                11             21             32
           9              23                19                21        24        29          3159          4442                41                55              8             14
          10              20                17                17        12        12          1317          1327                 0                 0             26             26
          11              12                21                21        18        18          4275          4361                54                55             22             22
          12              12                16                20         2        17           119          1115                 0                 4              4             18
          13              23                20                20        29        31          1649          3413                 2                14             12             15
          14              22                16                19         3        11           353           722                 0                 0              5             23
          15              50                16                18         2        19            50           535                 0                 3              4              5
          16              10                20                20        33        33          3255          3309                48                48             19             20
          17               6                17                19         3        18           344          2664                 0                 0             11             96
          18              10                20                20        29        29          4414          4472                54                55             13             15
          19              13                17                19        16        16          1378          2134                 0                 0             34             37
          20              11                17                19         5        16           160           704                 0                 1              7             14
          21              10                16                20         9        37           184          2212                 0                19              6             41
          22              29                19                19         5         6           282           837                 0                 0              9             24
