eps:         1.5
min_samples: 25
Silhouette score including outliers: 0.037892347219158455
Silhouette score excluding outliers: 0.13140606079804074

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            5633                16                21         1       246             0         29378                 0               240              0            367
           0           11975                16                21         1       181            22         27308                 0               372              1            408
           1              42                17                17        20        24           296           619                 0                 0              7             12
           2              38                16                20         3        76           119         10186                 0               137             10             80
           3              25                17                19         3         5            45           181                 0                 0              4             18
           4              33                19                20        60        60          4802          5157                10                11             21             32
           5              43                16                20         2        54           190          5626                 0                25             11             99
           6              50                16                18         2        19            50           535                 0                 3              4              5
           7              29                19                19         5         6           282           837                 0                 0              9             24
